BARCODE	CELLS_PER_WELL	PROJECT_CODE	FLASK_BARCODE	CELL_LINE	MEDIA	DATE_CREATED	Compound Plate Map Name	PosCon Plate Map Name	Amplification name	Amplified (Y/N)	Detection name	Detected (Y/N)	12 pool amplification name	12 pool detection name
SCW0112409	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112410	1250	7159	ztf00032460	P910	RPMI001	Wed Feb  3 09:24:08 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112429	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112430	1250	7159	ztf00032459	P911	RPMI001	Wed Feb  3 10:09:37 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112449	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X2	PREP001_P7_X2	
SCW0112450	1250	7159	ztf00032458	P912	RPMI001	Wed Feb  3 11:04:53 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P7_X3	PREP001_P7_X3	
SCW0112712	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112713	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112714	1250	7159	ztf00032457	P913	RPMI001	Thu Feb  4 09:19:45 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0111382	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0111383	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0111384	1250	7159	ztf00032456	P914	RPMI001	Thu Feb  4 10:13:48 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0109462	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0109463	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0109464	1250	7159	ztf00032455	P915	RPMI001	Thu Feb  4 11:03:11 2016	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0112308	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112309	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112310	1250	7159	ZTF00032454	P916	RPMI001	2016-02-10 09:25:55 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0112328	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112329	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112330	1250	7159	ZTF00032452	P917	RPMI001	2016-02-10 11:10:28 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0112348	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112349	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112350	1250	7159	ZTF00032451	P918	RPMI001	2016-02-10 11:05:15 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
SCW0112608	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X1	PREP001_P8_X1	
SCW0112609	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X2	PREP001_P8_X2	
SCW0112610	1250	7159	ZTF00032450	P919	RPMI001	2016-02-11 09:19:44 EST	B-REPO-001-01	C-7159-01-IPB-003					PREP001_P8_X3	PREP001_P8_X3	
